SpikePoint;ServeFault;ServePoint;ServeTotal;BlockPoint;BlockTotal;DigTotal;ReceptionFault;@PointsTeamASet1;@PointsTeamBSet1;@PointsTeamASet2;@PointsTeamBSet2;@DurationSet1;@DurationSet2;temperature_2m;precipitation;wind_speed_10m;rain;wind_gusts_10m;TeamFault_team;match_win;total_A;total_B;Team1;Team2
31;8;2;49;1;6;30;1;21.0;18.0;19.0;21.0;1138.0;1104.0;19.1;0.0;25.2;0.0;43.2;21.0;0;2;1;Gutierrez/Flores;Klinger D./Klinger R.
40;3;1;54;0;4;39;1;21.0;18.0;17.0;21.0;1134.0;1243.0;20.4;0.0;23.1;0.0;47.9;25.0;1;1;2;Ahtiainen/Lahti;Erika/Michelle
28;3;1;47;3;6;36;1;21.0;18.0;17.0;21.0;1134.0;1243.0;20.4;0.0;23.1;0.0;47.9;21.0;0;1;2;Erika/Michelle;Ahtiainen/Lahti
25;3;3;40;6;11;16;1;21.0;14.0;21.0;15.0;834.0;969.0;14.8;0.0;6.6;0.0;18.7;15.0;1;2;0;Ana Patrícia/Duda;Paulikiene/Raupelyte
17;2;1;31;1;11;13;3;21.0;14.0;21.0;15.0;834.0;969.0;14.8;0.0;6.6;0.0;18.7;10.0;0;2;0;Paulikiene/Raupelyte;Ana Patrícia/Duda
23;5;7;41;2;4;25;5;21.0;12.0;21.0;16.0;1019.0;1124.0;14.4;0.0;5.8;0.0;11.5;6.0;1;2;0;Xue/X. Y. Xia;Naraphornrapat/Worapeerachayakorn
11;3;5;29;5;7;20;7;21.0;12.0;21.0;16.0;1019.0;1124.0;14.4;0.0;5.8;0.0;11.5;18.0;0;2;0;Naraphornrapat/Worapeerachayakorn;Xue/X. Y. Xia
40;5;2;60;0;15;29;3;22.0;24.0;24.0;22.0;1382.0;1373.0;20.5;0.0;22.5;0.0;43.6;25.0;0;2;1;Andressa/Vitoria;Cannon/Kraft
43;5;3;59;3;10;35;2;22.0;24.0;24.0;22.0;1382.0;1373.0;20.5;0.0;22.5;0.0;43.6;25.0;1;2;1;Cannon/Kraft;Andressa/Vitoria
38;8;0;54;1;9;34;1;32.0;34.0;21.0;23.0;1816.0;1326.0;19.9;0.0;24.0;0.0;48.2;26.0;0;0;2;Álvarez M/Moreno;Stam/Schoon
45;11;1;56;1;16;30;0;32.0;34.0;21.0;23.0;1816.0;1326.0;19.9;0.0;24.0;0.0;48.2;17.0;1;0;2;Stam/Schoon;Álvarez M/Moreno
30;5;3;45;3;7;30;5;21.0;19.0;25.0;23.0;1199.0;1411.0;20.5;0.0;22.5;0.0;43.6;18.0;1;2;0;Mariafe/Clancy;Ittlinger/Borger
29;7;5;43;0;2;24;3;21.0;19.0;25.0;23.0;1199.0;1411.0;20.5;0.0;22.5;0.0;43.6;24.0;0;2;0;Ittlinger/Borger;Mariafe/Clancy
22;4;3;42;3;6;16;3;22.0;20.0;21.0;15.0;1351.0;1118.0;19.9;0.0;24.0;0.0;48.2;16.0;1;2;0;Gottardi/Menegatti;Anouk/Mäder
22;6;3;36;2;5;18;3;22.0;20.0;21.0;15.0;1351.0;1118.0;19.9;0.0;24.0;0.0;48.2;15.0;0;2;0;Anouk/Mäder;Gottardi/Menegatti
28;6;1;40;3;8;25;1;26.0;24.0;21.0;16.0;1613.0;1176.0;14.8;0.0;6.6;0.0;18.7;20.0;0;2;0;Placette/Richard;Esmée/Zoé
29;5;1;47;3;7;24;1;26.0;24.0;21.0;16.0;1613.0;1176.0;14.8;0.0;6.6;0.0;18.7;18.0;1;2;0;Esmée/Zoé;Placette/Richard
25;4;0;41;6;16;30;3;17.0;21.0;17.0;21.0;1285.0;1393.0;14.4;0.0;5.8;0.0;11.5;10.0;1;0;2;Melissa/Brandie;Ahtiainen/Lahti
20;0;3;35;1;8;34;0;17.0;21.0;17.0;21.0;1285.0;1393.0;14.4;0.0;5.8;0.0;11.5;16.0;0;0;2;Ahtiainen/Lahti;Melissa/Brandie
35;4;4;55;3;17;28;1;27.0;25.0;19.0;21.0;1529.0;1142.0;14.4;0.0;5.8;0.0;11.5;25.0;0;2;1;Klinger D./Klinger R.;Hughes/Cheng
43;6;1;61;3;11;44;3;27.0;25.0;19.0;21.0;1529.0;1142.0;14.4;0.0;5.8;0.0;11.5;20.0;1;2;1;Hughes/Cheng;Klinger D./Klinger R.
22;4;3;32;1;6;17;1;21.0;14.0;21.0;17.0;1061.0;1019.0;14.8;0.0;6.6;0.0;18.7;14.0;0;2;0;J. Dong/Wang;Tina/Anastasija
