SpikeFault;SpikePoint;ServeFault;ServePoint;ServeTotal;BlockPoint;BlockTotal;DigTotal;ReceptionFault;SpikeTotal;temperature_2m;precipitation;wind_speed_10m;rain;wind_gusts_10m;TeamFault_team;Team1;Team2
13;17;6;1;25;3;3;0;0;45;20.3;0.0;11.2;0.0;24.1;23.0;Gonzalez/Reyes;Mol, A./Sørum, C.
5;23;1;0;41;5;5;0;1;34;20.3;0.0;11.2;0.0;24.1;17.0;Mol, A./Sørum, C.;Gonzalez/Reyes
5;20;2;3;41;7;7;0;0;35;18.7;0.0;10.5;0.0;22.3;23.0;Pedro Solberg/Vitor Felipe;Erdmann/Winter
9;27;7;0;35;0;0;0;3;47;18.7;0.0;10.5;0.0;22.3;27.0;Erdmann/Winter;Pedro Solberg/Vitor Felipe
8;15;5;1;32;3;3;0;0;37;22.3;0.0;11.2;0.0;25.9;29.0;Abicha/Elgraoui;Fijalek/Bryl
7;22;7;3;41;3;3;0;0;37;22.3;0.0;11.2;0.0;25.9;17.0;Fijalek/Bryl;Abicha/Elgraoui
12;29;7;0;36;1;1;0;1;50;22.3;0.0;11.2;0.0;25.9;32.0;Bergmann/Harms, Y.;Plavins/Tocs
1;22;2;1;41;5;5;0;0;33;22.3;0.0;11.2;0.0;25.9;22.0;Plavins/Tocs;Bergmann/Harms, Y.
9;10;5;1;24;1;1;0;1;36;22.3;0.0;9.4;0.0;24.5;10.0;Gottsu/Ageba;Stoyanovskiy/Krasilnikov
2;22;5;3;40;2;2;0;0;34;22.3;0.0;9.4;0.0;24.5;26.0;Stoyanovskiy/Krasilnikov;Gottsu/Ageba
7;25;8;7;42;3;3;0;1;46;22.3;0.0;11.2;0.0;25.9;12.0;Doppler/Horst;Ranghieri/Caminati
5;19;2;1;36;3;3;0;5;36;22.3;0.0;11.2;0.0;25.9;21.0;Ranghieri/Caminati;Doppler/Horst
10;33;3;0;51;6;6;0;0;74;21.3;0.0;11.2;0.0;24.8;33.0;Rossi/Carambula;Cherif/Ahmed
13;42;5;1;58;7;7;0;0;72;21.3;0.0;11.2;0.0;24.8;45.0;Cherif/Ahmed;Rossi/Carambula
6;21;11;1;32;3;3;0;5;41;22.0;0.0;10.7;0.0;26.3;11.0;Koekelkoren/van Walle;Perusic/Schweiner
5;18;3;5;40;1;1;0;1;34;22.0;0.0;10.7;0.0;26.3;17.0;Perusic/Schweiner;Koekelkoren/van Walle
6;16;4;1;30;1;1;0;0;36;21.1;0.0;8.2;0.0;26.3;31.0;Tamer/M. Essam;Semenov/Leshukov
2;27;10;5;41;0;0;0;0;39;21.1;0.0;8.2;0.0;26.3;15.0;Semenov/Leshukov;Tamer/M. Essam
9;36;2;0;54;7;7;0;0;55;21.9;0.0;8.9;0.0;24.1;27.0;Alison/Álvaro Filho;Allen/Slick
13;33;5;0;47;8;9;0;0;68;21.9;0.0;8.9;0.0;24.1;28.0;Allen/Slick;Alison/Álvaro Filho
7;26;8;3;52;2;2;0;0;53;17.8;0.0;9.0;0.0;23.8;40.0;Saxton/O'Gorman;Brouwer/Meeuwsen
8;39;10;3;56;4;4;0;0;58;17.8;0.0;9.0;0.0;23.8;33.0;Brouwer/Meeuwsen;Saxton/O'Gorman
14;14;3;0;31;4;4;0;0;44;25.6;0.0;6.7;0.0;20.9;17.0;Vieyto/Cairus;Gibb/Crabb
8;23;5;0;41;8;8;0;0;48;25.6;0.0;6.7;0.0;20.9;25.0;Gibb/Crabb;Vieyto/Cairus
6;26;5;1;43;2;2;0;0;46;25.6;0.0;6.7;0.0;20.9;26.0;Kantor/Łosiak;Hudyakov/Velichko
14;20;3;0;32;3;3;0;1;51;25.6;0.0;6.7;0.0;20.9;20.0;Hudyakov/Velichko;Kantor/Łosiak
3;22;1;10;40;1;1;0;0;32;27.5;0.0;3.9;0.0;7.6;32.0;Nicolai/Lupo;Soares/Nguvo
9;11;1;0;18;0;0;0;0;39;27.5;0.0;3.9;0.0;7.6;12.0;Soares/Nguvo;Nicolai/Lupo
20;34;7;7;55;3;3;0;0;69;27.5;0.0;3.9;0.0;7.6;34.0;Seidl, R./Waller;Andre/George
10;21;3;0;49;6;6;0;7;55;27.5;0.0;3.9;0.0;7.6;23.0;Andre/George;Seidl, R./Waller
6;25;4;1;46;5;6;0;0;45;28.2;0.0;1.8;0.0;14.0;31.0;Herrera/Gavira;Tigrito/Charly
12;27;6;2;42;2;2;0;0;56;28.2;0.0;1.8;0.0;14.0;29.0;Tigrito/Charly;Herrera/Gavira
6;28;3;2;52;1;1;0;3;55;27.5;0.0;2.1;0.0;14.8;41.0;Durant/Schumann;Evandro/Bruno Schmidt
10;41;10;4;57;3;3;0;2;66;27.5;0.0;2.1;0.0;14.8;29.0;Evandro/Bruno Schmidt;Durant/Schumann
12;17;2;0;32;4;4;0;1;48;28.8;0.0;1.9;0.0;10.1;27.0;Grimalt M./Grimalt E.;Ehlers/Flüggen
7;24;6;1;41;4;4;0;0;49;28.8;0.0;1.9;0.0;10.1;18.0;Ehlers/Flüggen;Grimalt M./Grimalt E.
4;30;4;0;43;5;5;0;0;51;28.8;0.0;1.9;0.0;10.1;30.0;Ontiveros/Virgen;Liamin/Myskiv
12;27;2;3;40;2;2;0;0;57;28.8;0.0;1.9;0.0;10.1;31.0;Liamin/Myskiv;Ontiveros/Virgen
9;24;2;0;32;2;2;0;0;53;26.3;0.0;2.6;0.0;20.5;31.0;Zavala/Lammel;Samoilovs/Smedins
2;30;3;0;40;4;4;0;0;46;26.3;0.0;2.6;0.0;20.5;25.0;Samoilovs/Smedins;Zavala/Lammel
16;11;6;0;38;6;6;0;0;43;27.5;0.0;2.1;0.0;14.8;11.0;Pedlow/Schachter;Heidrich/Gerson
16;20;10;0;41;8;8;0;0;51;27.5;0.0;2.1;0.0;14.8;20.0;Heidrich/Gerson;Pedlow/Schachter
6;23;5;4;40;8;8;0;1;41;26.3;0.0;2.6;0.0;20.5;23.0;Thole J./Wickler;Kavalo/Ntagengwa
14;12;1;1;27;2;2;0;4;44;26.3;0.0;2.6;0.0;20.5;13.0;Kavalo/Ntagengwa;Thole J./Wickler
2;13;1;2;21;3;3;0;0;22;26.3;0.0;2.6;0.0;20.5;10.0;Salemi B. /A.Vakili;Bourne/Crabb Tr.
5;10;1;0;13;0;0;0;0;24;26.3;0.0;2.6;0.0;20.5;15.0;Bourne/Crabb Tr.;Salemi B. /A.Vakili
12;22;9;1;35;2;3;0;1;44;23.1;0.0;24.8;0.0;52.2;14.0;Erdmann/Winter;Mol, A./Sørum, C.
8;19;3;1;41;5;5;0;1;34;23.1;0.0;24.8;0.0;52.2;11.0;Mol, A./Sørum, C.;Erdmann/Winter
4;23;4;1;41;1;2;0;0;35;23.1;0.0;24.8;0.0;52.2;26.0;Pedro Solberg/Vitor Felipe;Gonzalez/Reyes
10;18;4;0;28;3;3;0;1;47;23.1;0.0;24.8;0.0;52.2;19.0;Gonzalez/Reyes;Pedro Solberg/Vitor Felipe
10;27;8;4;48;3;3;0;4;52;33.9;0.0;24.0;0.0;47.5;30.0;Bergmann/Harms, Y.;Fijalek/Bryl
5;29;8;4;51;6;6;0;4;49;33.9;0.0;24.0;0.0;47.5;30.0;Fijalek/Bryl;Bergmann/Harms, Y.
6;28;1;3;40;2;2;0;0;46;33.9;0.0;24.0;0.0;47.5;32.0;Plavins/Tocs;Abicha/Elgraoui
7;17;3;0;28;0;0;0;0;47;33.9;0.0;24.0;0.0;47.5;19.0;Abicha/Elgraoui;Plavins/Tocs
9;22;7;3;35;2;2;0;1;49;28.7;0.0;1.8;0.0;13.0;25.0;Ranghieri/Caminati;Stoyanovskiy/Krasilnikov
4;22;5;1;41;3;3;0;2;36;28.7;0.0;1.8;0.0;13.0;23.0;Stoyanovskiy/Krasilnikov;Ranghieri/Caminati
3;24;4;5;41;2;2;0;0;39;27.5;0.0;2.1;0.0;14.8;22.0;Doppler/Horst;Gottsu/Ageba
9;18;2;3;30;1;1;0;0;45;27.5;0.0;2.1;0.0;14.8;31.0;Gottsu/Ageba;Doppler/Horst
10;33;5;5;51;4;4;0;1;65;28.9;0.0;1.8;0.0;11.5;34.0;Perusic/Schweiner;Cherif/Ahmed
8;40;3;1;56;3;3;0;5;63;28.9;0.0;1.8;0.0;11.5;40.0;Cherif/Ahmed;Perusic/Schweiner
12;34;6;1;51;3;3;0;0;66;28.8;0.0;1.9;0.0;10.1;36.0;Koekelkoren/van Walle;Rossi/Carambula
11;37;3;1;55;8;8;0;0;65;28.8;0.0;1.9;0.0;10.1;38.0;Rossi/Carambula;Koekelkoren/van Walle
10;33;3;2;59;5;6;0;3;59;25.4;0.0;27.3;0.0;59.4;39.0;Semenov/Leshukov;Allen/Slick
13;39;7;3;54;2;2;0;2;67;25.4;0.0;27.3;0.0;59.4;36.0;Allen/Slick;Semenov/Leshukov
6;25;4;4;41;3;3;0;0;41;25.4;0.0;27.3;0.0;59.4;14.0;Alison/Álvaro Filho;Tamer/M. Essam
9;13;3;1;25;3;3;0;0;40;25.4;0.0;27.3;0.0;59.4;30.0;Tamer/M. Essam;Alison/Álvaro Filho
9;25;5;0;40;4;4;0;0;50;20.4;0.0;20.2;0.0;39.6;20.0;Saxton/O'Gorman;Dalhausser/Lucena
9;18;6;0;36;4;4;0;0;51;20.4;0.0;20.2;0.0;39.6;25.0;Dalhausser/Lucena;Saxton/O'Gorman
8;20;4;5;43;8;8;0;0;40;20.4;0.0;20.2;0.0;39.6;27.0;Azaad/Capogrosso N.;Brouwer/Meeuwsen
10;25;7;0;39;5;5;0;5;42;20.4;0.0;20.2;0.0;39.6;21.0;Brouwer/Meeuwsen;Azaad/Capogrosso N.
12;18;5;1;29;2;2;0;0;50;21.8;0.0;19.9;0.0;46.8;19.0;Hudyakov/Velichko;Gibb/Crabb
5;24;4;0;42;2;2;0;1;41;21.8;0.0;19.9;0.0;46.8;25.0;Gibb/Crabb;Hudyakov/Velichko
5;30;11;2;41;2;2;0;0;49;23.1;0.0;24.8;0.0;52.2;34.0;Kantor/Łosiak;Vieyto/Cairus
6;14;2;1;32;4;4;0;0;37;23.1;0.0;24.8;0.0;52.2;15.0;Vieyto/Cairus;Kantor/Łosiak
12;18;6;0;29;1;1;0;0;43;27.2;0.0;31.1;0.0;60.5;18.0;Seidl, R./Waller;Nicolai/Lupo
3;20;7;2;41;5;5;0;0;38;27.2;0.0;31.1;0.0;60.5;24.0;Nicolai/Lupo;Seidl, R./Waller
4;21;3;4;40;6;6;0;0;33;27.2;0.0;31.1;0.0;60.5;25.0;Andre/George;Soares/Nguvo
11;15;6;0;26;0;0;0;0;40;27.2;0.0;31.1;0.0;60.5;17.0;Soares/Nguvo;Andre/George
11;24;2;2;38;2;2;0;0;43;23.5;0.0;27.8;0.0;53.3;22.0;Durant/Schumann;Herrera/Gavira
5;24;7;2;40;7;7;0;0;42;23.5;0.0;27.8;0.0;53.3;11.0;Herrera/Gavira;Durant/Schumann
3;21;5;2;40;4;4;0;0;34;23.5;0.0;27.8;0.0;53.3;13.0;Evandro/Bruno Schmidt;Tigrito/Charly
13;12;4;1;23;0;0;0;0;37;23.5;0.0;27.8;0.0;53.3;25.0;Tigrito/Charly;Evandro/Bruno Schmidt
18;17;3;2;46;4;4;0;0;64;18.7;0.0;27.8;0.0;53.3;17.0;Grimalt M./Grimalt E.;Ontiveros/Virgen
14;20;7;0;44;7;7;0;1;62;18.7;0.0;27.8;0.0;53.3;17.0;Ontiveros/Virgen;Grimalt M./Grimalt E.
14;19;4;1;37;9;9;0;0;48;19.2;0.0;28.4;0.0;55.4;24.0;Ehlers/Flüggen;Liamin/Myskiv
13;22;1;1;41;5;5;0;0;45;19.2;0.0;28.4;0.0;55.4;22.0;Liamin/Myskiv;Ehlers/Flüggen
8;27;4;3;45;2;2;0;1;50;22.3;0.1;26.6;0.1;51.5;28.0;Samoilovs/Smedins;Heidrich/Gerson
8;27;7;1;43;2;2;0;3;54;22.3;0.1;26.6;0.1;51.5;29.0;Heidrich/Gerson;Samoilovs/Smedins
10;27;6;1;41;2;2;0;0;54;22.3;0.1;26.6;0.1;51.5;29.0;Pedlow/Schachter;Zavala/Lammel
8;14;5;1;33;3;3;0;0;52;22.3;0.1;26.6;0.1;51.5;16.0;Zavala/Lammel;Pedlow/Schachter
4;27;4;0;42;1;1;0;2;45;21.6;0.0;30.5;0.0;57.2;27.0;Thole J./Wickler;Salemi B. /A.Vakili
7;26;7;2;38;2;2;0;0;48;21.6;0.0;30.5;0.0;57.2;25.0;Salemi B. /A.Vakili;Thole J./Wickler
14;13;2;1;24;0;0;0;0;39;21.6;0.0;30.5;0.0;57.2;26.0;Kavalo/Ntagengwa;Bourne/Crabb Tr.
2;21;6;3;40;9;9;0;0;31;21.6;0.0;30.5;0.0;57.2;14.0;Bourne/Crabb Tr.;Kavalo/Ntagengwa
11;17;5;0;30;4;4;0;0;48;16.6;0.0;25.1;0.0;51.8;19.0;Pedro Solberg/Vitor Felipe;Mol, A./Sørum, C.
9;26;1;0;41;4;4;0;0;49;16.6;0.0;25.1;0.0;51.8;26.0;Mol, A./Sørum, C.;Pedro Solberg/Vitor Felipe
12;22;6;3;41;5;5;0;2;52;17.2;0.0;27.5;0.0;54.4;23.0;Gonzalez/Reyes;Erdmann/Winter
9;23;1;2;41;1;1;0;3;47;17.2;0.0;27.5;0.0;54.4;26.0;Erdmann/Winter;Gonzalez/Reyes
12;42;1;1;57;5;5;0;0;74;17.2;0.0;27.5;0.0;54.4;42.0;Plavins/Tocs;Fijalek/Bryl
9;44;5;1;59;8;8;0;1;75;17.2;0.0;27.5;0.0;54.4;46.0;Fijalek/Bryl;Plavins/Tocs
4;28;9;1;40;3;3;0;0;46;17.2;0.0;27.5;0.0;54.4;19.0;Bergmann/Harms, Y.;Abicha/Elgraoui
7;18;5;1;34;3;3;0;0;39;17.2;0.0;27.5;0.0;54.4;30.0;Abicha/Elgraoui;Bergmann/Harms, Y.
4;23;10;0;34;3;3;0;2;46;19.2;0.0;28.4;0.0;55.4;29.0;Doppler/Horst;Stoyanovskiy/Krasilnikov
4;28;6;2;44;2;3;0;0;45;19.2;0.0;28.4;0.0;55.4;23.0;Stoyanovskiy/Krasilnikov;Doppler/Horst
7;19;5;2;41;10;10;0;0;39;18.7;0.0;27.8;0.0;53.3;22.0;Ranghieri/Caminati;Gottsu/Ageba
17;16;3;2;33;4;4;0;0;49;18.7;0.0;27.8;0.0;53.3;20.0;Gottsu/Ageba;Ranghieri/Caminati
6;24;8;0;32;2;2;0;3;42;22.1;0.0;27.8;0.0;54.0;25.0;Koekelkoren/van Walle;Cherif/Ahmed
4;24;2;3;40;4;4;0;0;37;22.1;0.0;27.8;0.0;54.0;24.0;Cherif/Ahmed;Koekelkoren/van Walle
5;26;7;1;38;5;5;0;0;49;22.1;0.0;27.8;0.0;54.0;30.0;Perusic/Schweiner;Rossi/Carambula
6;27;5;3;43;1;1;0;0;48;22.1;0.0;27.8;0.0;54.0;23.0;Rossi/Carambula;Perusic/Schweiner
10;25;7;0;45;4;4;0;0;62;17.7;0.0;28.8;0.0;55.8;26.0;Alison/Álvaro Filho;Semenov/Leshukov
17;25;5;0;45;4;4;0;0;60;17.7;0.0;28.8;0.0;55.8;25.0;Semenov/Leshukov;Alison/Álvaro Filho
11;17;3;2;26;1;1;0;3;48;17.7;0.0;28.8;0.0;55.8;25.0;Tamer/M. Essam;Allen/Slick
3;24;1;3;40;3;3;0;2;38;17.7;0.0;28.8;0.0;55.8;18.0;Allen/Slick;Tamer/M. Essam
9;26;3;5;41;5;5;0;0;49;17.7;0.0;28.8;0.0;55.8;22.0;Brouwer/Meeuwsen;Dalhausser/Lucena
6;20;5;0;35;5;5;0;5;44;17.7;0.0;28.8;0.0;55.8;26.0;Dalhausser/Lucena;Brouwer/Meeuwsen
8;23;2;1;35;3;3;0;1;52;16.6;0.0;25.1;0.0;51.8;31.0;Azaad/Capogrosso N.;Saxton/O'Gorman
8;30;1;1;40;6;6;0;1;56;16.6;0.0;25.1;0.0;51.8;23.0;Saxton/O'Gorman;Azaad/Capogrosso N.
8;28;8;2;41;5;5;0;3;48;16.6;0.0;25.1;0.0;51.8;29.0;Kantor/Łosiak;Gibb/Crabb
7;17;4;3;37;4;4;0;2;46;16.6;0.0;25.1;0.0;51.8;17.0;Gibb/Crabb;Kantor/Łosiak
15;35;1;0;49;1;1;0;2;74;16.4;0.0;22.9;0.0;47.5;37.0;Hudyakov/Velichko;Vieyto/Cairus
10;35;4;2;56;11;11;0;0;71;16.4;0.0;22.9;0.0;47.5;37.0;Vieyto/Cairus;Hudyakov/Velichko
9;29;2;3;57;8;8;0;0;52;17.5;0.1;22.4;0.1;43.6;45.0;Andre/George;Nicolai/Lupo
14;42;8;3;55;1;1;0;3;69;17.5;0.1;22.4;0.1;43.6;31.0;Nicolai/Lupo;Andre/George
8;22;3;3;40;3;3;0;0;41;18.0;0.0;22.2;0.0;44.3;26.0;Seidl, R./Waller;Soares/Nguvo
12;15;4;1;29;2;2;0;0;46;18.0;0.0;22.2;0.0;44.3;16.0;Soares/Nguvo;Seidl, R./Waller
0;23;7;5;41;5;5;0;1;31;17.2;0.0;20.0;0.0;40.3;19.0;Evandro/Bruno Schmidt;Herrera/Gavira
10;17;3;1;28;0;0;0;5;34;17.2;0.0;20.0;0.0;40.3;24.0;Herrera/Gavira;Evandro/Bruno Schmidt
8;33;3;0;41;2;2;0;0;58;17.2;0.0;20.0;0.0;40.3;11.0;Durant/Schumann;Tigrito/Charly
8;17;0;1;29;6;6;0;0;56;17.2;0.0;20.0;0.0;40.3;33.0;Tigrito/Charly;Durant/Schumann
8;22;4;3;34;2;2;0;0;39;17.4;0.0;21.0;0.0;46.8;30.0;Grimalt M./Grimalt E.;Liamin/Myskiv
4;24;3;5;40;6;6;0;0;37;17.4;0.0;21.0;0.0;46.8;25.0;Liamin/Myskiv;Grimalt M./Grimalt E.
1;30;8;1;41;5;5;0;2;51;17.4;0.0;21.0;0.0;46.8;24.0;Ehlers/Flüggen;Ontiveros/Virgen
8;24;1;2;37;0;0;0;1;43;17.4;0.0;21.0;0.0;46.8;33.0;Ontiveros/Virgen;Ehlers/Flüggen
7;33;3;0;44;4;4;0;2;52;17.6;0.1;21.9;0.1;43.2;29.0;Pedlow/Schachter;Samoilovs/Smedins
6;27;5;3;42;5;5;0;0;54;17.6;0.1;21.9;0.1;43.2;34.0;Samoilovs/Smedins;Pedlow/Schachter
5;11;5;2;28;3;3;0;2;43;17.6;0.1;21.9;0.1;43.2;30.0;Zavala/Lammel;Heidrich/Gerson
7;28;6;3;41;1;1;0;2;42;17.6;0.1;21.9;0.1;43.2;12.0;Heidrich/Gerson;Zavala/Lammel
3;30;7;3;41;4;4;0;2;37;16.4;0.0;22.9;0.0;47.5;31.0;Thole J./Wickler;Bourne/Crabb Tr.
5;20;3;2;34;1;1;0;3;37;16.4;0.0;22.9;0.0;47.5;21.0;Bourne/Crabb Tr.;Thole J./Wickler
3;15;2;2;20;1;1;0;0;20;16.4;0.0;22.9;0.0;47.5;5.0;Kavalo/Ntagengwa;Salemi B. /A.Vakili
3;5;1;0;11;2;2;0;0;20;16.4;0.0;22.9;0.0;47.5;17.0;Kavalo/Ntagengwa;Salemi B. /A.Vakili
14;42;1;1;57;4;4;0;0;89;15.6;0.0;20.9;0.0;41.8;38.0;Durant/Schumann;Vieyto/Cairus
10;36;3;1;53;7;7;0;0;84;15.6;0.0;20.9;0.0;41.8;44.0;Vieyto/Cairus;Durant/Schumann
3;25;6;1;46;8;8;0;2;42;14.6;0.0;17.2;0.0;38.5;27.0;Perusic/Schweiner;Erdmann/Winter
11;26;8;2;39;2;2;0;1;47;14.6;0.0;17.2;0.0;38.5;27.0;Erdmann/Winter;Perusic/Schweiner
11;27;8;4;40;4;4;0;0;54;15.6;0.0;20.9;0.0;41.8;27.0;Bergmann/Harms, Y.;Ranghieri/Caminati
8;16;3;0;37;7;7;0;4;33;15.6;0.0;20.9;0.0;41.8;16.0;Ranghieri/Caminati;Bergmann/Harms, Y.
12;21;6;1;27;0;2;0;1;46;19.6;0.1;24.3;0.1;48.2;23.0;Bergmann/Harms, Y.;Mol, A./Sørum, C.
3;20;1;2;41;8;8;0;1;34;19.6;0.1;24.3;0.1;48.2;21.0;Mol, A./Sørum, C.;Bergmann/Harms, Y.
13;26;4;1;38;5;5;0;0;56;19.6;0.1;24.3;0.1;48.2;29.0;Pedro Solberg/Vitor Felipe;Plavins/Tocs
6;24;1;0;41;6;6;0;1;46;19.6;0.1;24.3;0.1;48.2;25.0;Plavins/Tocs;Pedro Solberg/Vitor Felipe
12;24;6;4;38;1;1;0;3;50;17.5;0.0;20.9;0.0;41.0;24.0;Evandro/Bruno Schmidt;Allen/Slick
5;20;4;3;41;5;5;0;4;42;17.5;0.0;20.9;0.0;41.0;21.0;Allen/Slick;Evandro/Bruno Schmidt
16;34;6;2;45;2;2;0;0;61;17.5;0.0;20.9;0.0;41.0;30.0;Nicolai/Lupo;Salemi B. /A.Vakili
4;25;4;3;51;8;8;0;0;48;17.5;0.0;20.9;0.0;41.0;36.0;Nicolai/Lupo;Salemi B. /A.Vakili
3;27;3;0;41;4;4;0;0;41;19.7;0.0;21.6;0.0;43.2;26.0;Alison/Álvaro Filho;Pedlow/Schachter
10;21;4;4;33;2;2;0;0;47;19.7;0.0;21.6;0.0;43.2;28.0;Pedlow/Schachter;Alison/Álvaro Filho
6;19;4;1;43;13;13;0;4;38;18.9;0.0;18.1;0.0;40.0;26.0;Thole J./Wickler;Brouwer/Meeuwsen
15;25;8;4;41;4;4;0;1;50;18.9;0.0;18.1;0.0;40.0;20.0;Brouwer/Meeuwsen;Thole J./Wickler
10;36;9;6;49;1;1;0;0;59;19.4;0.0;21.7;0.0;45.0;43.0;Doppler/Horst;Liamin/Myskiv
5;32;1;1;52;4;4;0;0;45;19.4;0.0;21.7;0.0;45.0;33.0;Liamin/Myskiv;Doppler/Horst
9;25;7;0;34;2;2;0;0;52;19.7;0.0;21.6;0.0;43.2;26.0;Cherif/Ahmed;Dalhausser/Lucena
2;24;5;1;41;3;3;0;0;41;19.7;0.0;21.6;0.0;43.2;26.0;Dalhausser/Lucena;Cherif/Ahmed
10;25;7;1;41;5;5;0;5;50;19.6;0.1;24.3;0.1;48.2;28.0;Perusic/Schweiner;Stoyanovskiy/Krasilnikov
7;27;7;5;49;4;4;0;0;45;19.6;0.1;24.3;0.1;48.2;26.0;Stoyanovskiy/Krasilnikov;Perusic/Schweiner
12;25;6;1;33;1;1;0;0;54;19.8;0.1;23.8;0.1;46.4;27.0;Herrera/Gavira;Gibb/Crabb
5;19;1;3;42;6;6;0;0;41;19.8;0.1;23.8;0.1;46.4;24.0;Gibb/Crabb;Herrera/Gavira
1;19;5;1;40;10;10;0;0;28;18.1;0.0;23.8;0.0;45.0;18.0;Rossi/Carambula;Heidrich/Gerson
14;13;7;2;26;0;0;0;0;41;18.1;0.0;23.8;0.0;45.0;21.0;Heidrich/Gerson;Rossi/Carambula
5;35;5;1;56;10;10;0;0;61;18.1;0.0;23.8;0.0;45.0;37.0;Seidl, R./Waller;Saxton/O'Gorman
15;36;5;0;49;3;3;0;1;70;18.1;0.0;23.8;0.0;45.0;36.0;Saxton/O'Gorman;Seidl, R./Waller
14;20;7;1;31;2;2;0;3;47;19.4;0.0;21.7;0.0;45.0;18.0;Kantor/Łosiak;Semenov/Leshukov
3;17;6;3;41;7;7;0;1;34;19.4;0.0;21.7;0.0;45.0;20.0;Semenov/Leshukov;Kantor/Łosiak
10;34;3;2;47;4;4;0;0;61;19.4;0.0;21.7;0.0;45.0;29.0;Ehlers/Flüggen;Bourne/Crabb Tr.
8;32;3;1;46;5;5;0;0;57;19.4;0.0;21.7;0.0;45.0;34.0;Bourne/Crabb Tr.;Ehlers/Flüggen
12;34;5;0;55;5;5;0;0;73;17.7;0.0;23.0;0.0;45.0;34.0;Andre/George;Samoilovs/Smedins
13;30;5;2;51;8;8;0;0;73;17.7;0.0;23.0;0.0;45.0;37.0;Samoilovs/Smedins;Andre/George
11;20;3;3;36;3;3;0;0;56;18.9;0.1;23.4;0.1;45.0;28.0;Durant/Schumann;Fijalek/Bryl
8;27;4;1;41;8;8;0;0;56;18.9;0.1;23.4;0.1;45.0;23.0;Fijalek/Bryl;Durant/Schumann
14;23;2;1;38;5;5;0;1;60;18.2;0.1;24.1;0.1;47.9;24.0;Plavins/Tocs;Mol, A./Sørum, C.
10;25;2;1;42;7;7;0;1;59;18.2;0.1;24.1;0.1;47.9;26.0;Mol, A./Sørum, C.;Plavins/Tocs
12;45;8;2;59;5;5;0;6;72;18.2;0.1;24.1;0.1;47.9;46.0;Nicolai/Lupo;Allen/Slick
7;32;5;6;60;4;4;0;2;61;18.2;0.1;24.1;0.1;47.9;33.0;Allen/Slick;Nicolai/Lupo
8;20;4;0;30;4;4;0;0;43;17.9;0.0;19.7;0.0;38.5;30.0;Alison/Álvaro Filho;Thole J./Wickler
6;29;2;0;41;6;6;0;0;41;17.9;0.0;19.7;0.0;38.5;21.0;Thole J./Wickler;Alison/Álvaro Filho
9;22;2;0;33;2;2;0;5;41;17.9;0.0;19.7;0.0;38.5;22.0;Liamin/Myskiv;Dalhausser/Lucena
7;25;3;5;41;2;2;0;0;40;17.9;0.0;19.7;0.0;38.5;26.0;Dalhausser/Lucena;Liamin/Myskiv
3;27;7;5;41;6;6;0;1;42;17.0;0.0;22.7;0.0;47.2;28.0;Stoyanovskiy/Krasilnikov;Gibb/Crabb
7;19;3;1;32;2;2;0;4;45;17.0;0.0;22.7;0.0;47.2;20.0;Gibb/Crabb;Stoyanovskiy/Krasilnikov
7;26;3;1;34;2;2;0;1;47;17.0;0.0;22.6;0.0;43.2;31.0;Seidl, R./Waller;Rossi/Carambula
6;31;0;1;41;2;2;0;0;49;17.0;0.0;22.6;0.0;43.2;27.0;Rossi/Carambula;Seidl, R./Waller
3;26;6;2;38;4;4;0;3;40;17.0;0.0;22.6;0.0;43.2;26.0;Semenov/Leshukov;Bourne/Crabb Tr.
7;26;1;4;40;1;1;0;2;45;17.0;0.0;22.6;0.0;43.2;30.0;Bourne/Crabb Tr.;Semenov/Leshukov
12;30;3;2;52;5;5;0;2;57;17.0;0.0;22.7;0.0;47.2;31.0;Andre/George;Fijalek/Bryl
14;29;5;3;47;5;5;0;2;60;17.0;0.0;22.7;0.0;47.2;30.0;Fijalek/Bryl;Andre/George
9;21;5;0;25;1;1;0;1;54;15.6;0.5;16.6;0.5;29.2;27.0;Nicolai/Lupo;Mol, A./Sørum, C.
3;24;0;1;41;6;6;0;0;41;15.6;0.5;16.6;0.5;29.2;21.0;Mol, A./Sørum, C.;Nicolai/Lupo
5;25;5;2;41;8;8;0;2;37;16.8;0.1;25.0;0.1;44.3;23.0;Thole J./Wickler;Dalhausser/Lucena
13;23;2;2;36;3;3;0;2;42;16.8;0.1;25.0;0.1;44.3;25.0;Dalhausser/Lucena;Thole J./Wickler
6;20;5;0;33;2;2;0;3;45;16.8;0.1;25.0;0.1;44.3;20.0;Rossi/Carambula;Stoyanovskiy/Krasilnikov
6;27;6;3;41;1;1;0;0;41;16.8;0.1;25.0;0.1;44.3;28.0;Stoyanovskiy/Krasilnikov;Rossi/Carambula
12;31;4;2;53;4;4;0;0;66;15.6;0.5;16.6;0.5;29.2;38.0;Andre/George;Bourne/Crabb Tr.
10;37;6;0;52;5;5;0;2;65;15.6;0.5;16.6;0.5;29.2;33.0;Bourne/Crabb Tr.;Andre/George
9;38;4;2;52;4;4;0;0;68;15.7;0.0;23.6;0.0;44.6;39.0;Thole J./Wickler;Mol, A./Sørum, C.
10;34;2;0;50;4;4;0;2;67;15.7;0.0;23.6;0.0;44.6;36.0;Mol, A./Sørum, C.;Thole J./Wickler
