SpikeFault;SpikePoint;ServeFault;ServePoint;ServeTotal;BlockPoint;BlockTotal;DigTotal;ReceptionFault;SpikeTotal;temperature_2m;precipitation;wind_speed_10m;rain;wind_gusts_10m;TeamFault_team;Team1;Team2
7;39;7;4;58;3;9;25;2;61;27.6;0.0;7.9;0.0;20.5;29.0;Perusic/Schweiner;Herrera/Gavira
7;33;7;2;51;3;8;22;4;55;27.6;0.0;7.9;0.0;20.5;23.0;Herrera/Gavira;Perusic/Schweiner
11;23;8;2;35;3;10;9;2;42;26.1;0.0;7.0;0.0;18.7;15.0;Brouwer/Meeuwsen;Mol, A./Sørum, C.
5;21;4;2;41;6;9;11;1;36;26.1;0.0;7.0;0.0;18.7;18.0;Mol, A./Sørum, C.;Brouwer/Meeuwsen
14;31;16;4;53;3;10;18;1;56;26.1;0.0;7.0;0.0;18.7;24.0;Ehlers/Wickler;van de Velde/Immers
6;26;10;1;56;9;16;12;4;40;26.1;0.0;7.0;0.0;18.7;14.0;van de Velde/Immers;Ehlers/Wickler
5;24;8;2;41;6;9;19;1;35;23.9;0.0;10.5;0.0;17.3;13.0;Łosiak/Bryl;Schalk/Bourne
11;13;4;1;29;2;11;10;2;34;23.9;0.0;10.5;0.0;17.3;5.0;Schalk/Bourne;Łosiak/Bryl
7;34;9;3;50;5;16;30;1;68;23.9;0.0;10.5;0.0;17.3;25.0;Perusic/Schweiner;Åhman/Hellvig
9;26;5;1;48;4;21;24;3;55;23.9;0.0;10.5;0.0;17.3;19.0;Åhman/Hellvig;Perusic/Schweiner
16;29;7;1;43;6;15;14;1;56;26.4;0.0;6.9;0.0;22.0;19.0;van de Velde/Immers;Mol, A./Sørum, C.
8;32;3;1;55;10;25;17;1;46;26.4;0.0;6.9;0.0;22.0;13.0;Mol, A./Sørum, C.;van de Velde/Immers
8;26;4;2;48;9;25;25;4;50;25.6;0.0;8.0;0.0;22.3;14.0;Perusic/Schweiner;Łosiak/Bryl
12;33;9;4;51;4;14;26;2;62;25.6;0.0;8.0;0.0;22.3;15.0;Łosiak/Bryl;Perusic/Schweiner
9;28;6;2;51;4;21;14;3;52;27.0;0.0;6.8;0.0;19.4;21.0;van de Velde/Immers;Łosiak/Bryl
13;39;8;3;57;5;12;24;2;63;27.0;0.0;6.8;0.0;19.4;18.0;Łosiak/Bryl;van de Velde/Immers
14;37;5;0;51;5;15;29;3;66;25.4;0.0;2.5;0.0;14.4;14.0;Perusic/Schweiner;Mol, A./Sørum, C.
10;29;3;3;51;6;17;17;0;57;25.4;0.0;2.5;0.0;14.4;27.0;Mol, A./Sørum, C.;Perusic/Schweiner
2;30;4;4;41;0;4;27;1;49;22.8;0.0;3.6;0.0;10.8;20.0;Ana Patrícia/Duda;Nuss/Brasher
2;27;6;1;36;0;6;24;4;49;22.8;0.0;3.6;0.0;10.8;19.0;Nuss/Brasher;Ana Patrícia/Duda
3;28;3;1;41;2;8;30;2;50;22.8;0.0;3.6;0.0;10.8;20.0;Ittlinger/Borger;Scoles/Flint
4;29;6;2;38;1;7;24;1;59;22.8;0.0;3.6;0.0;10.8;19.0;Scoles/Flint;Ittlinger/Borger
4;29;1;1;41;1;7;29;0;46;24.7;0.0;5.5;0.0;18.0;15.0;Carol/Barbara;Stam/Schoon
5;26;5;0;34;0;6;26;1;51;24.7;0.0;5.5;0.0;18.0;16.0;Stam/Schoon;Carol/Barbara
11;44;12;4;72;7;20;34;3;86;24.7;0.0;5.5;0.0;18.0;15.0;Esmée/Zoé;Anouk/Mäder
9;54;7;6;78;0;13;22;6;82;26.9;0.0;10.9;0.0;26.3;23.0;Cannon/Sponcil;Hughes/Cheng
11;20;5;2;34;1;9;22;0;47;26.9;0.0;10.9;0.0;26.3;14.0;Tainá/Victoria;Tina/Anastasija
4;23;6;1;41;1;6;27;2;46;26.9;0.0;10.9;0.0;26.3;18.0;Tina/Anastasija;Tainá/Victoria
3;28;4;4;41;0;7;25;2;45;26.5;0.0;10.1;0.0;26.3;17.0;Mariafe/Clancy;Andressa/Vitoria
4;22;5;5;36;1;9;20;3;46;26.5;0.0;10.1;0.0;26.3;16.0;Andressa/Vitoria;Mariafe/Clancy
1;21;2;3;41;4;9;18;1;36;26.5;0.0;10.1;0.0;26.3;14.0;Xue/X. Y. Xia;Brunner/Hüberli
9;24;6;1;30;0;5;19;3;42;26.5;0.0;10.1;0.0;26.3;17.0;Brunner/Hüberli;Xue/X. Y. Xia
2;24;4;3;41;3;11;14;1;40;24.8;0.0;6.8;0.0;19.4;20.0;Ana Patrícia/Duda;Scoles/Flint
10;22;4;1;31;1;4;16;3;50;24.8;0.0;6.8;0.0;19.4;15.0;Scoles/Flint;Ana Patrícia/Duda
10;18;6;5;33;0;4;25;2;57;24.8;0.0;6.8;0.0;19.4;11.0;Ittlinger/Borger;Nuss/Brasher
3;22;4;2;41;5;16;29;5;37;24.8;0.0;6.8;0.0;19.4;18.0;Nuss/Brasher;Ittlinger/Borger
5;21;4;2;38;2;9;15;1;35;22.4;0.0;6.1;0.0;13.0;17.0;Stam/Schoon;Anouk/Mäder
6;30;7;1;41;1;4;18;2;45;22.4;0.0;6.1;0.0;13.0;14.0;Anouk/Mäder;Stam/Schoon
6;28;6;1;42;4;10;8;2;39;22.4;0.0;6.1;0.0;13.0;19.0;Carol/Barbara;Esmée/Zoé
7;23;5;2;38;1;7;9;1;38;22.4;0.0;6.1;0.0;13.0;19.0;Esmée/Zoé;Carol/Barbara
9;36;5;1;54;4;10;27;2;63;22.3;0.0;3.6;0.0;16.2;21.0;Tina/Anastasija;Hughes/Cheng
11;39;4;2;58;6;19;25;1;72;22.3;0.0;3.6;0.0;16.2;30.0;Hughes/Cheng;Tina/Anastasija
8;38;4;1;53;5;16;40;2;82;22.3;0.0;3.6;0.0;16.2;26.0;Tainá/Victoria;Cannon/Sponcil
10;40;4;4;56;2;9;41;1;84;22.3;0.0;3.6;0.0;16.2;26.0;Cannon/Sponcil;Tainá/Victoria
10;36;5;2;56;4;11;23;4;66;24.1;0.0;4.2;0.0;20.2;22.0;Mariafe/Clancy;Brunner/Hüberli
11;37;3;4;55;4;12;30;2;68;24.1;0.0;4.2;0.0;20.2;30.0;Brunner/Hüberli;Mariafe/Clancy
6;28;3;4;42;3;4;29;0;55;24.1;0.0;4.2;0.0;20.2;22.0;Andressa/Vitoria;Xue/X. Y. Xia
6;26;3;1;36;2;7;26;1;54;24.1;0.0;4.2;0.0;20.2;20.0;Xue/X. Y. Xia;Andressa/Vitoria
10;40;8;5;67;4;13;33;5;79;26.7;0.1;13.0;0.1;28.1;16.0;Nuss/Brasher;Scoles/Flint
10;30;2;5;53;3;11;27;0;66;26.7;0.1;13.0;0.1;28.1;25.0;Ana Patrícia/Duda;Ittlinger/Borger
10;35;6;1;49;4;16;27;3;69;26.7;0.1;13.0;0.1;28.1;19.0;Ittlinger/Borger;Ana Patrícia/Duda
10;34;3;1;54;9;16;24;0;58;22.9;0.9;11.6;0.9;29.2;21.0;Carol/Barbara;Anouk/Mäder
14;28;5;1;44;6;11;23;1;63;22.9;0.9;11.6;0.9;29.2;20.0;Anouk/Mäder;Carol/Barbara
8;37;6;2;51;2;15;27;4;64;22.9;0.9;11.6;0.9;29.2;30.0;Stam/Schoon;Esmée/Zoé
8;29;5;5;52;4;8;25;2;59;22.9;0.9;11.6;0.9;29.2;18.0;Esmée/Zoé;Stam/Schoon
6;29;3;4;41;2;9;31;2;48;22.6;0.4;8.0;0.4;20.5;10.0;Tina/Anastasija;Cannon/Sponcil
5;20;3;2;33;1;12;22;3;51;22.6;0.4;8.0;0.4;20.5;18.0;Cannon/Sponcil;Tina/Anastasija
11;22;1;1;32;3;4;19;4;47;22.6;0.4;8.0;0.4;20.5;21.0;Tainá/Victoria;Hughes/Cheng
6;24;2;6;41;5;8;21;1;45;22.6;0.4;8.0;0.4;20.5;12.0;Hughes/Cheng;Tainá/Victoria
11;28;3;5;50;1;4;26;2;55;22.2;0.1;1.9;0.1;15.5;22.0;Andressa/Vitoria;Brunner/Hüberli
9;33;6;2;48;7;10;24;5;58;22.2;0.1;1.9;0.1;15.5;19.0;Brunner/Hüberli;Andressa/Vitoria
4;42;10;6;58;3;7;30;2;68;22.2;0.1;1.9;0.1;15.5;24.0;Mariafe/Clancy;Xue/X. Y. Xia
5;32;2;2;47;1;11;32;6;56;22.2;0.1;1.9;0.1;15.5;22.0;Xue/X. Y. Xia;Mariafe/Clancy
8;35;4;4;53;4;8;23;1;59;25.8;0.0;2.6;0.0;18.7;20.0;Xue/X. Y. Xia;Anouk/Mäder
12;39;2;1;52;2;9;25;3;64;25.8;0.0;2.6;0.0;18.7;25.0;Anouk/Mäder;Xue/X. Y. Xia
12;39;7;4;56;4;14;33;4;75;25.8;0.0;2.6;0.0;18.7;16.0;Tina/Anastasija;Stam/Schoon
9;28;2;4;52;6;19;28;4;63;25.8;0.0;2.6;0.0;18.7;23.0;Stam/Schoon;Tina/Anastasija
13;25;3;3;32;1;5;19;1;53;24.1;0.0;6.5;0.0;20.5;15.0;Ittlinger/Borger;Brunner/Hüberli
2;24;0;1;41;5;12;19;2;43;24.1;0.0;6.5;0.0;20.5;19.0;Brunner/Hüberli;Ittlinger/Borger
13;41;3;4;67;2;11;34;4;79;24.1;0.0;6.5;0.0;20.5;9.0;Cannon/Sponcil;Nuss/Brasher
4;24;4;1;41;5;8;17;0;42;27.2;0.0;9.1;0.0;20.2;14.0;Ana Patrícia/Duda;Anouk/Mäder
12;19;5;0;28;2;6;21;0;45;27.2;0.0;9.1;0.0;20.2;13.0;Anouk/Mäder;Ana Patrícia/Duda
5;28;8;2;42;5;10;25;0;47;27.2;0.0;9.1;0.0;20.2;9.0;Mariafe/Clancy;Tina/Anastasija
7;17;4;0;30;1;9;16;2;40;27.2;0.0;9.1;0.0;20.2;19.0;Tina/Anastasija;Mariafe/Clancy
11;33;6;9;53;3;13;24;3;61;27.6;0.0;8.8;0.0;21.2;22.0;Brunner/Hüberli;Hughes/Cheng
8;32;2;3;51;1;8;28;9;56;27.6;0.0;8.8;0.0;21.2;18.0;Hughes/Cheng;Brunner/Hüberli
6;29;3;0;35;0;2;25;3;50;27.6;0.0;8.8;0.0;21.2;20.0;Carol/Barbara;Nuss/Brasher
3;29;3;4;42;3;8;19;0;50;27.6;0.0;8.8;0.0;21.2;21.0;Nuss/Brasher;Carol/Barbara
8;29;5;3;45;2;5;23;2;49;24.1;0.0;8.7;0.0;22.3;17.0;Mariafe/Clancy;Ana Patrícia/Duda
10;22;4;2;40;3;10;16;3;47;24.1;0.0;8.7;0.0;22.3;20.0;Ana Patrícia/Duda;Mariafe/Clancy
14;48;3;5;70;3;12;50;5;103;21.9;0.0;8.4;0.0;22.3;22.0;Nuss/Brasher;Hughes/Cheng
5;31;2;1;41;1;3;32;1;53;27.1;0.0;7.0;0.0;19.4;17.0;Ana Patrícia/Duda;Hughes/Cheng
3;21;5;1;30;1;4;24;1;50;27.1;0.0;7.0;0.0;19.4;25.0;Hughes/Cheng;Ana Patrícia/Duda
13;32;9;3;58;5;10;35;1;71;26.5;0.0;6.2;0.0;17.6;25.0;Mariafe/Clancy;Nuss/Brasher
16;32;4;1;53;2;11;31;3;76;26.5;0.0;6.2;0.0;17.6;25.0;Nuss/Brasher;Mariafe/Clancy
14;43;3;1;54;2;10;32;3;68;25.7;0.0;7.2;0.0;7.9;18.0;Andressa/Vitoria;Paulikiene/Raupelyte
8;30;3;3;52;7;16;20;0;58;25.7;0.0;7.2;0.0;7.9;31.0;Paulikiene/Raupelyte;Andressa/Vitoria
11;41;7;1;57;2;11;35;3;83;25.7;0.0;7.2;0.0;7.9;26.0;Ittlinger/Borger;Kolinske/Harward
12;35;4;2;57;3;19;41;1;72;25.7;0.0;7.2;0.0;7.9;19.0;Kolinske/Harward;Ittlinger/Borger
12;28;1;5;50;4;8;20;2;53;25.7;0.0;7.2;0.0;7.9;26.0;Xue/X. Y. Xia;Ludwig/Lippmann
9;31;10;2;48;5;7;17;5;55;25.7;0.0;7.2;0.0;7.9;28.0;Ludwig/Lippmann;Xue/X. Y. Xia
5;34;5;3;51;0;2;33;3;61;25.7;0.0;7.2;0.0;7.9;23.0;Talita/Thamela;Gutierrez/Flores
5;28;10;4;45;1;5;30;3;58;25.7;0.0;7.2;0.0;7.9;20.0;Gutierrez/Flores;Talita/Thamela
6;19;3;2;32;1;5;21;10;43;25.7;0.0;10.5;0.0;12.2;10.0;Sinisalo, S./Parkkinen;Gottardi/Menegatti
3;23;7;10;42;3;15;16;2;40;25.7;0.0;10.5;0.0;12.2;16.0;Gottardi/Menegatti;Sinisalo, S./Parkkinen
9;18;3;2;29;0;3;16;3;41;25.7;0.0;10.5;0.0;12.2;22.0;Klinger D./Klinger R.;Taiana Lima/Hegeile
3;26;4;4;41;4;10;21;1;39;25.7;0.0;10.5;0.0;12.2;12.0;Taiana Lima/Hegeile;Klinger D./Klinger R.
6;36;8;9;59;2;5;19;2;53;25.7;0.0;10.5;0.0;12.2;30.0;Carro/Lobato;Placette/Richard
5;30;6;2;48;0;2;21;9;53;25.7;0.0;10.5;0.0;12.2;32.0;Placette/Richard;Carro/Lobato
13;21;1;2;33;4;9;27;4;57;25.7;0.0;10.5;0.0;12.2;21.0;M.M. Lin/J. J. Zeng;Ahtiainen/Lahti
8;27;2;4;45;5;13;30;1;59;25.7;0.0;10.5;0.0;12.2;8.0;Ahtiainen/Lahti;M.M. Lin/J. J. Zeng
6;26;2;2;34;0;1;16;6;40;25.7;0.0;14.3;0.0;17.6;21.0;Hermannova/Stochlova;Ishii/Mizoe
3;27;4;6;42;2;3;13;2;40;25.7;0.0;14.3;0.0;17.6;20.0;Ishii/Mizoe;Hermannova/Stochlova
