Gender_x;Type;TournamentNo;SpikeFault;SpikePoint;ServeFault;ServePoint;ServeTotal;BlockPoint;BlockTotal;DigTotal;ReceptionFault;SpikeTotal;@LocalDate;@LocalTime;FederationCode_y;FirstName;LastName;FirstName2;LastName2;@TeamAName;@TeamBName;NoPlayer1_team;NoPlayer2_team;@PointsTeamASet1;@PointsTeamBSet1;@PointsTeamASet2;@PointsTeamBSet2;@PointsTeamASet3;@PointsTeamBSet3;@DurationSet1;@DurationSet2;@DurationSet3;temperature_2m;precipitation;wind_speed_10m;rain;wind_gusts_10m;TeamFault_team;match_win;TeamDesignation;TeamNameFull
0;51;6868;7;43;6;2;59;7;13;23;1;67;2023-08-20;12:00:00;ITA;Samuele;Cottafava;Paolo;Nicolai;Mol, A./Sørum, C.;Cottafava/Nicolai;143192.0;137127.0;23.0;25.0;21.0;19.0;13.0;15.0;1412.0;1200.0;863.0;24.3;0.0;18.4;0.0;33.1;27.0;1;B;Cottafava/Nicolai
0;51;6868;10;34;6;2;48;5;14;22;3;59;2023-08-20;13:00:00;BRA;George;Souto Maior Wanderley;Andre;Loyola Stein;George/Andre;Åhman/Hellvig;160555.0;166274.0;14.0;21.0;21.0;14.0;13.0;15.0;873.0;1005.0;860.0;24.2;0.0;15.7;0.0;35.6;27.0;0;A;George/Andre
0;51;6868;8;31;3;3;50;7;13;22;2;55;2023-08-20;13:00:00;SWE;David;Åhman;Jonatan;Hellvig;George/Andre;Åhman/Hellvig;142889.0;147009.0;14.0;21.0;21.0;14.0;13.0;15.0;873.0;1005.0;860.0;24.2;0.0;15.7;0.0;35.6;21.0;1;B;Åhman/Hellvig
0;51;6868;6;25;3;3;41;4;15;13;1;41;2023-08-20;16:30:00;NOR;Christian Sandlie;Sørum;Anders Berntsen;Mol;Mol, A./Sørum, C.;George/Andre;143192.0;137127.0;21.0;19.0;21.0;16.0;;;1193.0;1039.0;;25.0;0.0;10.8;0.0;22.0;13.0;1;A;Mol, A./Sørum, C.
0;51;6868;11;24;2;1;36;2;12;14;2;43;2023-08-20;16:30:00;BRA;George;Souto Maior Wanderley;Andre;Loyola Stein;Mol, A./Sørum, C.;George/Andre;142889.0;147009.0;21.0;19.0;21.0;16.0;;;1193.0;1039.0;;25.0;0.0;10.8;0.0;22.0;16.0;0;B;George/Andre
0;51;6868;10;44;8;4;60;1;18;30;1;82;2023-08-20;19:00:00;ITA;Samuele;Cottafava;Paolo;Nicolai;Cottafava/Nicolai;Åhman/Hellvig;160555.0;166274.0;16.0;21.0;24.0;22.0;19.0;21.0;1101.0;1368.0;1155.0;21.8;0.0;7.7;0.0;12.2;24.0;0;A;Cottafava/Nicolai
0;51;6868;6;43;2;1;63;2;31;30;3;65;2023-08-20;19:00:00;SWE;David;Åhman;Jonatan;Hellvig;Cottafava/Nicolai;Åhman/Hellvig;163923.0;118194.0;16.0;21.0;24.0;22.0;19.0;21.0;1101.0;1368.0;1155.0;21.8;0.0;7.7;0.0;12.2;24.0;1;B;Åhman/Hellvig
1;51;6867;6;31;3;2;42;1;11;23;2;49;2023-08-17;08:00:00;BRA;Eduarda;Santos Lisboa;Ana Patricia;Silva Ramos;Ana Patrícia/Duda;Tina/Anastasija;147073.0;139087.0;22.0;20.0;21.0;18.0;;;1074.0;1035.0;;16.4;1.9;15.0;1.9;25.6;18.0;1;A;Ana Patrícia/Duda
1;51;6867;4;27;6;2;39;3;7;26;2;52;2023-08-17;08:00:00;LAT;Tina;Graudina;Anastasija;Samoilova;Ana Patrícia/Duda;Tina/Anastasija;141983.0;141984.0;22.0;20.0;21.0;18.0;;;1074.0;1035.0;;16.4;1.9;15.0;1.9;25.6;21.0;0;B;Tina/Anastasija
1;51;6867;2;27;7;1;46;4;7;14;5;40;2023-08-17;08:00:00;BRA;Carolina;Solberg Salgado;Barbara;Seixas de Freitas;Carol/Barbara;Zeimann/MacDonald;104079.0;104505.0;25.0;23.0;22.0;20.0;;;1318.0;1208.0;;16.4;1.9;15.0;1.9;25.6;22.0;1;A;Carol/Barbara
